,表达式,fitness,代数,OOB fitness,训练集IC,样本外IC,训练集IR,样本外IR,训练集RankIC,样本外RankIC
46,"common_min(common_abs(common_abs(成交量)), common_sub(common_tan(成交量), common_mul(成交额, 最低价)))",0.03189415741633855,0,0.009046191913341894,0.03189415741633855,-0.009046191913341894,0.08474115827359092,0.025136913239180186,0.019437681485846438,0.027398926325355788
47,"common_max(common_min(common_sub(成交额, 开盘价), common_log(成交额)), 成交额)",0.03685381946717767,1,0.01361263435916147,-0.03685381946717767,-0.01361263435916147,0.0911085323779918,0.04151331739833738,-0.01214551758565678,-0.03324687162725465
48,"common_add(common_mul(成交量, 收盘价), common_add(最低价, 成交额))",0.0368173121803967,1,0.014094160110916298,-0.0368173121803967,-0.014094160110916298,0.09097137001175974,0.04297756100520951,-0.012032376965366149,-0.03359428760137234
49,"dynamic_ts_max(common_mul(最高价, 成交量),40)",0.03620333839425974,1,0.0024012002984995554,-0.03620333839425974,-0.0024012002984995554,0.12235754013899305,0.007793804963227949,-0.02301339933658272,-0.03304335526325549
50,"common_max(成交量, common_abs(成交额))",0.03685381946717767,1,0.01361263435916147,-0.03685381946717767,-0.01361263435916147,0.0911085323779918,0.04151331739833738,-0.01214551758565678,-0.03324687162725465
51,"dynamic_ts_max(common_max(成交量, common_add(成交额, -0.793)),23)",0.02713038384253027,1,0.008695855311257376,-0.02713038384253027,-0.008695855311257376,0.07862176632555982,0.027696696752529067,0.00554031766066896,-0.010520489186362574
52,"common_mul(成交量, 最高价)",0.03702563573044161,1,0.01360131599402208,-0.03702563573044161,-0.01360131599402208,0.091322948981487,0.04139751061318424,-0.012275100125937816,-0.03379721029357772
53,"common_max(0.036, common_add(最低价, 成交额))",0.03685381916607029,1,0.013612632906049457,-0.03685381916607029,-0.013612632906049457,0.09110853172125073,0.041513312849833686,-0.01214551758565678,-0.03324687162725465
54,"common_min(common_tan(开盘价), common_sqrt(最低价))",0.028696323801511197,1,0.006741736349945027,-0.028696323801511197,0.006741736349945027,0.11144843361984202,0.028368724546185605,-0.03342948953436706,-0.0029847354953066183
55,"common_max(common_add(common_log(收盘价), common_sub(最高价, 成交额)), common_abs(成交额))",0.03685381946717767,1,0.01361263435916147,-0.03685381946717767,-0.01361263435916147,0.0911085323779918,0.04151331739833738,-0.01214551758565678,-0.03324687162725465
56,common_abs(common_abs(成交量)),0.021349781416624254,1,0.02895111569445714,-0.021349781416624254,-0.02895111569445714,0.05069152524312565,0.09666247246140756,-0.009950040061329797,-0.044455587674968995
57,"common_abs(common_mul(common_sqrt(0.627), 成交量))",0.021349781416624275,1,0.028951115694457148,-0.021349781416624275,-0.028951115694457148,0.05069152524312565,0.09666247246140759,-0.009950040061329797,-0.044455587674968995
58,"common_sub(成交额, 最高价)",0.03685381974466164,1,0.013612635864240516,-0.03685381974466164,-0.013612635864240516,0.09110853297796885,0.04151332211665431,-0.01214551758565678,-0.03324687162725465
59,"common_mul(common_abs(common_mul(成交额, 成交量)), dynamic_ts_max(-0.824,90))",0.02833630165548181,1,0.020987953031709836,0.02833630165548181,0.020987953031709836,0.07446393367206232,0.0684860044128196,-0.012026295843063212,0.041405502560602485
